batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
200,2,0.75,10,5,50,10,0 days 00:05:53.326545000,0.07846477956771851,0.976
200,2,0.75,10,5,50,15,0 days 00:11:45.540179000,0.054763871276378634,0.9836
200,2,0.75,10,5,100,5,0 days 00:01:54.216075000,0.15311952056884764,0.95485
200,2,0.75,10,5,100,10,0 days 00:05:51.474052000,0.0716738595366478,0.97815
200,2,0.75,10,5,100,15,0 days 00:11:43.836212000,0.0472966012775898,0.985425
200,2,0.75,16,5,50,5,0 days 00:01:55.668559000,0.16891268491744996,0.9527
200,2,0.75,16,5,50,10,0 days 00:05:51.902744000,0.06914844188690185,0.979725
200,2,0.75,16,5,50,15,0 days 00:11:45.560096000,0.04816007481813431,0.98575
200,2,0.75,16,5,100,5,0 days 00:01:55.161997000,0.15477754018306733,0.95445
200,2,0.75,16,5,100,10,0 days 00:05:54.531797000,0.06767371994853019,0.9798
200,2,0.75,16,5,100,15,0 days 00:11:48.713194000,0.04509655522108078,0.98645
200,3,0.2,10,5,50,5,0 days 00:01:54.298563000,0.13494936587810516,0.9587
200,3,0.2,10,5,50,10,0 days 00:05:51.050132000,0.062023768442869186,0.9802
200,3,0.2,10,5,50,15,0 days 00:11:45.782409000,0.041685159128904345,0.9869
200,3,0.2,10,5,100,5,0 days 00:01:54.681729000,0.12290558304786682,0.962675
200,3,0.2,10,5,100,10,0 days 00:05:50.185890000,0.055226805371046066,0.9829
200,3,0.2,10,5,100,15,0 days 00:11:48.460958000,0.038546210807561876,0.98795
200,3,0.2,16,5,50,5,0 days 00:01:55.110043000,0.11304476721286774,0.965325
200,3,0.2,16,5,50,10,0 days 00:05:51.425067000,0.05461176316738129,0.98285
200,3,0.2,16,5,50,15,0 days 00:11:45.307485000,0.03743012766838074,0.9877
200,3,0.2,16,5,100,5,0 days 00:01:56.387221000,0.11968076758384705,0.9647
200,3,0.2,16,5,100,10,0 days 00:05:53.015911000,0.051719612807035444,0.983675
